,title,PMID
366,Falciparum malaria-induced secondary hemophagocytic lymphohistiocytosis successfully treated with ruxolitinib.,32777582
367,"Pancytopenia induced by secondary hemophagocytic lymphohistiocytosis: A rare, overlooked dreadful complication of Plasmodium vivax.",32775294
368,Treatment of pediatric primary hemophagocytic lymphohistiocytosis with the HLH-94/2004 regimens and hematopoietic stem cell transplantation in China.,32766934
369,Hemophagocytic Lymphohistiocytosis (HLH) in a Patient with Disseminated Histoplasmosis.,32765915
370,Ferritin in hemophagocytic lymphohistiocytosis (HLH): current concepts and controversies.,32745577
371,A pilot study of ruxolitinib as a front-line therapy for 12 children with secondary hemophagocytic lymphohistiocytosis.,32732367
372,Recalcitrant minocycline-induced DRESS mimicking HLH.,32730650
373,NK cells: energized yet exhausted in adult HLH.,3273057832356861
374,"[Hemophagocytic syndrome, current diagnostic and therapeutic approach].",32730382
375,The use of anakinra in the treatment of secondary hemophagocytic lymphohistiocytosis.,32725881
376,Resolution of Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis associated with rapid immune reconstruction after a single course of CHOP therapy.,32725606
377,Severe anaplasmosis represents a treatable cause of secondary hemophagocytic lymphohistiocytosis: Two cases and review of literature.,32723647
378,Disseminated Juvenile Xanthogranuloma and Hemophagocytic Lymphohistiocytosis Developed During Treatment of Acute Lymphoblastic Leukemia: Case Report.,32719740
379,Case Report: Systemic Inflammatory Response and Fast Recovery in a Pediatric Patient With COVID-19.,32719688
380,The Oncogenic Role of miR-BART19-3p in Epstein-Barr Virus-Associated Diseases.,32714979
381,Hemophagocytic lymphohistiocytosis as a presentation of inflammatory bowel disease.,32713955
382,Living-donor liver transplantation providing an adequate chemotherapy for a pediatric patient with anaplastic large cell lymphoma complicated with liver failure due to the aggravation of biliary hepatopathy by secondary hemophagocytic lymphohistiocytosis.,32710432
383,Emerging Roles of Inhibitor of Differentiation-1 in Alzheimer's Disease: Cell Cycle Reentry and Beyond.,32708313
384,Incidence and treatment of hemophagocytic lymphohistiocytosis in hospitalized children with Ehrlichia infection.,32706439
385,Cell-type-specific promoters for C. elegans glia.,32696701
386,Low dose ruxolitinib plus HLH-94 protocol: A potential choice for secondary HLH.,32690141
387,Paediatric MAS/HLH caused by a novel monoallelic activating mutation in p110δ.,32681977
388,SARS-CoV-2 Infection-Associated Hemophagocytic Lymphohistiocytosis.,32681166
389,Ruxolitinib in Alleviating the Cytokine Storm of Hemophagocytic Lymphohistiocytosis.,32680878
390,Hemophagocytic lymphohistiocytosis in adults.,32675947
391,Neonatal Dengue With HLH: Perks of Early Diagnosis and Management.,32675555
392,[Adenovirus pneumonia with hemophagocytic lymphohistiocytosis in children: a clinical analysis of 7 children].,32669173
393,Short-term effectiveness of ruxolitinib in the treatment of recurrent or refractory hemophagocytic lymphohistiocytosis in children.,32666469
394,Could hemophagocytic lymphohistiocytosis be the core issue of severe COVID-19 cases?,32664932
395,Familial Hemophagocytic Lymphohistiocytosis Type 2 in a Chinese Infant with PRF1 Homozygous Mutation: a Case Report.,32658436
396,"Indian National Association for the Study of the Liver Consensus Statement on Acute Liver Failure (Part 1): Epidemiology, Pathogenesis, Presentation and Prognosis.",32655238
397,Hemophagocytic Lymphohistiocytosis: Lessons Learned from the Dark Side.,32654694
398,[Clinical study of haploidentical hematopoietic stem cell transplantation on 15 cases of adult-onset primary hemophagocytic lymphohistiocytosis].,32654467
399,[Clinical characteristics and prognostic analysis of advanced-stage extranodal NK/T cell lymphoma].,32654458
400,Emapalumab for the treatment of hemophagocytic lymphohistiocytosis.,32648854
401,Epstein Virus Barr-Positive Diffuse Large B-Cell Lymphoma Associated with Hemophagocytic Lymphohistiocytosis.,32647871
402,A Diagnostic Dilemma of Secondary Hemophagocytosis Lymphohistiocytosis in an Elderly Patient.,32642386
403,HEMOPHAGOCYTOSIS BY BLASTS IN A CHILD WITH ACUTE MONOCYTIC LEUKEMIA AFTER CHEMOTHERAPY.,32638943
404,Neuroinflammatory Disease as an Isolated Manifestation of Hemophagocytic Lymphohistiocytosis.,32638196
405,Hemocyanins from Helix and Rapana Snails Exhibit in Vitro Antitumor Effects in Human Colorectal Adenocarcinoma.,32635655
406,Risk factors for mixed chimerism in children with hemophagocytic lymphohistiocytosis after reduced toxicity conditioning.,32618429
407,"Ruxolitinib combined with doxorubicin, etoposide, and dexamethasone for the treatment of the lymphoma-associated hemophagocytic syndrome.",32617699
408,Haemophagocytic lymphohistiocytosis after heart transplantation: a case report.,32617508
409,HLA-mismatched GPBSC infusion therapy in refractory Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis: an observational study from a single center.,32611452
410,Extended clinical and immunological phenotype and transplant outcome in CD27 and CD70 deficiency.,3260343133270851
411,Hemophagocytic Lymphohistiocytosis and Inflammatory Bowel Disease: Case Report and Systematic Review.,32596254
412,A Rare Case of Measles-Associated Hemophagocytic Lymphohistiocytosis in an Infant.,32596066
413,[The clinical significance of plasma PTX3 in patients with secondary hemophagocytic lymphohistiocytosis].,32594686
414,Interleukin-18 and cytotoxic impairment are independent and synergistic causes of murine virus-induced hyperinflammation.,3258970733152085
415,Hemophagocytic lymphohistiocytosis: a review inspired by the COVID-19 pandemic.,32588191
416,"Molecular characterization, inducible expression and functional analysis of an IKKβ from the tropical sea cucumber Holothuria leucospilota.",32585358
417,COVID-19 Associated Hemophagocytic Lymphohistiocytosis and Coagulopathy: Targeting the Duumvirate.,32583809
418,"Hemophagocytic lymphohistiocytosis secondary to visceral leishmaniasis in an endemic area in the north of Minas Gerais, Brazil.",32578702
419,[A genetic analysis of children with Epstein-Barr virus-positive hemophagocytic lymphohistiocytosis and its association with T-helper type 1/T-helper type 2 cytokines].,32571462
420,Emerging trends in COVID-19 treatment: learning from inflammatory conditions associated with cellular therapies.,32565132
421,Multilevel regulation of muscle-specific transcription factor hlh-1 during Caenorhabditis elegans embryogenesis.,32556563
422,[Expression and Clinical Significance of Soluble B7-H3 in Patient with Secondary Hemophagocytic Lymphohistiocytosis].,32552973
423,A Case of Cytomegalovirus-Induced Hemophagocytic Lymphohistiocytosis in a Patient with an Underlying Rheumatic Disease.,32550050
424,Frequency and spectrum of disease-causing variants in 1892 patients with suspected genetic HLH disorders.,32542393
425,"Three novel prevention, diagnostic, and treatment options for COVID-19 urgently necessitating controlled randomized trials.",32534175
426,JAK/STAT pathway inhibition sensitizes CD8 T cells to dexamethasone-induced apoptosis in hyperinflammation.,3253003932761218
427,Acute human immunodeficiency virus infection associated hemophagocytic lymphohistiocytosis.,32528850
428,Secondary HLH is uncommon in severe COVID-19.,32526046
429,L-DEP regimen salvage therapy for paediatric patients with refractory Epstein-Barr virus-associated haemophagocytic lymphohistiocytosis.,32525580
430,[Clinical features and outcomes of cancer-related versus non-cancer-related sepsis in pediatric intensive care unit].,32521960
431,Hemophagocytic Lymphohistiocytosis Secondary to PD-1 and IDO Inhibition in a Patient with Refractory Glioblastoma.,32518546
432,Treatment outcomes and prognostic factors for non- malignancy associated secondary hemophagocytic lymphohistiocytosis in children.,32517812
433,Hemophagocytic lymphohistiocytosis is associated with Bartonella henselae infection in a patient with multiple susceptibility genes.,32517705
434,Novel XIAP mutation causing enhanced spontaneous apoptosis and disturbed NOD2 signalling in a patient with atypical adult-onset Crohn's disease.,32514016
435,"Rising visceral leishmaniasis in Holy Himalayas (Uttarakhand, India) - A cross-sectional hospital-based study.",32509616
436,A rare case of diffuse large B-cell lymphoma-associated hemophagocytic lymphohistiocytosis.,32507098
437,Dynamics of hematopoiesis is disrupted by impaired hematopoietic microenvironment in a mouse model of hemophagocytic lymphohistiocytosis.,32506245
438,Hodgkin lymphoma-associated hemophagocytic lymphohistiocytosis-a dangerous disease.,32500223
439,Prognostic Value of Blood-Based Inflammatory Biomarkers in Secondary Hemophagocytic Lymphohistiocytosis.,32495220
440,Visceral leishmaniasis with hemophagocytic lymphohistiocytosis (HLH).,32489870
441,A case of pembrolizumab-induced hemophagocytic lymphohistiocytosis successfully treated with pulse glucocorticoid therapy.,32489850
442,Hemophagocytic Lymphohistiocytosis Complicating Methotrexate Toxicity.,32477983
443,Hemophagocytic lymphohistiocytosis associated with Leishmania: A hidden passenger in endemic areas.,32473845
444,The amount of cytokine-release defines different shades of Sars-Cov2 infection.,32460624
445,Considering immunologic and genetic evaluation for HLH in neuroinflammation: A case of Griscelli syndrome type 2 with neurological symptoms and a lack of albinism.,32459386
446,Cell Versus Cytokine - Directed Therapies for Hemophagocytic Lymphohistiocytosis (HLH) in Inborn Errors of Immunity.,32457750
447,Ehrlichiosis Presenting as Hemophagocytic Lymphohistiocytosis in an Immunocompetent Adult.,32455115
448,Hemophagocytic lymphohistiocytosis in critically ill patients: diagnostic reliability of HLH-2004 criteria and HScore.,32448380
449,Thinking Beyond HLH: Clinical Features of Patients with Concurrent Presentation of Hemophagocytic Lymphohistiocytosis and Thrombotic Microangiopathy.,32447592
450,Hemophagocytic lymphohistiocytosis (HLH) caused by disseminated histoplasmosis by H. capsulatum var. duboisii in HIV patient: A case report.,32446648
451,A comprehensive analysis of adult patients with secondary hemophagocytic lymphohistiocytosis: a prospective cohort study.,32440790
452,New variant (Val597Ile) in transmembrane region of the TSH receptor with human chorionic gonadotropin hypersensitivity in familial gestational hyperthyroidism.,32437589
453,"Mitochondrial translation, dynamics, and lysosomes combine to extend lifespan.",3243422032259199
454,Early Use of Blood Purification in Severe Epstein-Barr Virus-Associated Hemophagocytic Syndrome.,32430444
455,A case of pediatric visceral leishmaniasis-related hemophagocytic lymphohistiocytosis diagnosed by mNGS.,32425641
456,Neurologic complications of COVID-19.,32425321
457,Inherited chromosomally integrated human herpesvirus-6 in a patient with XIAP deficiency.,32424944
458,Children with lymphoma presenting with hemophagocytic lymphohistiocytosis.,32419422
459,Trigger-dependent differences determine therapeutic outcome in murine primary hemophagocytic lymphohistiocytosis.,32419134
460,Macrophage activation syndrome in children with Kawasaki disease: diagnostic and therapeutic approaches.,32418074
461,Etoposide-based therapy for severe forms of COVID-19.,32416415
462,Hemophagocytic Lymphohistiocytosis in Renal Transplant Recipients: A 2-Case Report.,32389490
463,Retrospective single-centre analysis of diagnostic approach to adult-onset haemophagocytic lymphohistiocytosis.,32388900
464,"Hemophagocytic lymphohistiocytosis: An update on pathogenesis, diagnosis, and therapy.",32387063
465,Targeted busulfan-based reduced-intensity conditioning and HLA-matched HSCT cure hemophagocytic lymphohistiocytosis.,3238454232818225
466,Epstein-Barr Virus Infection-associated Hemophagocytic Lymphohistiocytosis.,32382465
467,Chemotherapy-sparing treatment of haemophagocytic lymphohistiocytosis with intravenous immunoglobulins and corticosteroids.,32376661
468,Fatal COVID-19 infections: Is NK cell dysfunction a link with autoimmune HLH?,3237640132268212
469,Genotype characteristics and immunological indicator evaluation of 311 hemophagocytic lymphohistiocytosis cases in China.,32375849
470,Successful treatment of mycobacterial infection associated hemophagocytic lymphohistiocytosis with etoposide and anti-tuberculous therapy: a case report.,32370734
471,Functional and genetic testing in adults with HLH reveals an inflammatory profile rather than a cytotoxicity defect.,3235686132730578
472,Clinical and imaging features in adult patients with bone marrow haemophagocytosis with and without haemophagocytic lymphohistiocytosis: a single-institution experience.,32354424
473,Soluble interleukin-2 receptor (sIL-2r) level is a limited test for the diagnosis of adult secondary hemophagocytic lymphohistiocytosis.,32353917
474,HLH Associated with Disseminated Tuberculosis.,32348646
475,Drs. Cron and Chatham reply.,32335514
476,Case series of three adult patients with exceptional clinical presentations of haemophagocytic lymphohistiocytosis.,32332189
477,Hemophagocytic Lymphohistiocytosis in Patients With Primary Immunodeficiency.,32324696
478,IL6-R blocking with tocilizumab in critically ill patients with hemophagocytic syndrome.,3232156330992265
479,[Clinical Characteristics and Prognostic Analysis of 59 Adult Patients with Epstein-Barr Virus-Associated Hemophagocytic Syndrome].,32319412
480,"[Relationship between Single Nucleotide Polymorphisms of IL2RA, IL-10 Gene and Epstein-Barr Virus Associated Hemophagocytic Lymphohistiocytosisin in children].",32319410
481,[Clinical Characteristics and Prognostic Factors of Children with Non-Hodgkin's Lymphoma of Different Pathological Subtypes].,32319386
482,Association of soluble interleukin-2 receptor alpha with laboratory parameters and clinical findings of hemophagocytic lymphohistiocytosis patients: The first report from South of Iran.,32318616
483,A Rare and Fatal Case of Hemophagocytic Lymphohistiocytosis Associated with Sarcoidosis.,32315294
484,Outcome analysis of pediatric hemophagocytic lymphohistiocytosis.,32307323
485,Severe cerebral involvement in adult-onset hemophagocytic lymphohistiocytosis.,32307298
486,HLH-30/TFEB Is a Master Regulator of Reproductive Quiescence.,32302543
487,Hemophagocytic Lymphohistiocytosis Occurring in Inflammatory Bowel Disease: Systematic Review.,32300936
488,"Hemophagocytic Lymphohistiocytosis in Adults: Associated Diagnoses and Outcomes, a Ten-Year Experience at a Single Institution.",32300462
489,Macrophage Activation Syndrome Versus Hemophagocytic Lymphohistiocytosis: A Diagnostic Dilemma in a Patient With Still's Disease and Epstein-Barr Virus Viremia.,32300447
490,Diagnosis and Management of Secondary HLH/MAS Following HSCT and CAR-T Cell Therapy in Adults; A Review of the Literature and a Survey of Practice Within EBMT Centres on Behalf of the Autoimmune Diseases Working Party (ADWP) and Transplant Complications Working Party (TCWP).,32296434
491,The genetics of macrophage activation syndrome.,32291394
492,Hemophagocytic Lymphohistiocytosis and Graft Failure Following Unrelated Umbilical Cord Blood Transplantation in Children.,32287100
493,Hematopoietic stem cell transplantation in children with Griscelli syndrome type 2: a single-center report on 35 patients.,32286505
494,TIM-3 deficiency presenting with two clonally unrelated episodes of mesenteric and subcutaneous panniculitis-like T-cell lymphoma and hemophagocytic lymphohistiocytosis.,32285995
495,C9orf72/ALFA-1 controls TFEB/HLH-30-dependent metabolism through dynamic regulation of Rag GTPases.,32282804
496,Rheumatologists' perspective on coronavirus disease 19 (COVID-19) and potential therapeutic targets.,3227736732388748
497,Reactivity oscillation in the heavy-light-heavy Cl + CH4 reaction.,32277024
498,ngn-1/neurogenin Activates Transcription of Multiple Terminal Selector Transcription Factors in the Caenorhabditis elegans Nervous System.,32273286
499,Intravenous Anakinra for Macrophage Activation Syndrome May Hold Lessons for Treatment of Cytokine Storm in the Setting of Coronavirus Disease 2019.,32267072
500,Mitochondrial translation and dynamics synergistically extend lifespan in C. elegans through HLH-30.,3225919932434220
501,The aim of the measurement of Epstein-Barr virus DNA in hydroa vacciniforme and hypersensitivity to mosquito bites.,32255500
502,"Lentiviral Gene Therapy for Familial Hemophagocytic Lymphohistiocytosis Type 3, Caused by UNC13D Genetic Defects.",32253931
503,The Role of Cytokines including Interleukin-6 in COVID-19 induced Pneumonia and Macrophage Activation Syndrome-Like Disease.,3225171732376396323764003237640332380318
504,Changes in Cytokine Profile during Initial Treatment of Pediatric Hemophagocytic Lymphohistiocytosis Associated with Epstein-Barr Virus.,32238729
505,[Good's syndrome developing hemophagocytic lymphohistiocytosis following thymectomy].,32224589
506,Elevated serum myoglobin levels at hospital admission and the risk of early death among patients with hemophagocytic lymphohistiocytosis: evidence from 155 pediatric patients.,32221652
507,Hemophagocytic Lymphohistiocytosis in Children: Clinical Profile and Outcome.,32218098
508,"Severe Recurrent Fever Episodes With Clinical Diagnosis of Hemophagocytic Lymphohistiocytosis, Incomplete Kawasaki Disease and Systemic-Onset Juvenile Idiopathic Arthritis: A Case Report and Literature Review.",32211357
509,Tuberculosis and Tumor Lysis Syndrome-Coincidence or Coexistent: A Case Report.,32205951
510,Redox-mediated regulation of aging and healthspan by an evolutionarily conserved transcription factor HLH-2/Tcf3/E2A.,32203922
511,Propionic acidemia: an extremely rare cause of hemophagocytic lymphohistiocytosis in an infant.,32199059
512,Associations between PRF1 Ala91Val polymorphism and risk of hemophagocytic lymphohistiocytosis: a meta-analysis based on 1366 subjects.,32198610
513,Hemophagocytic syndrome with severe sepsis caused by Capnocytophaga canimorsus.,32197716
514,Adult Hemophagocytic Lymphohistiocytosis in Sub-Saharan Area: A Retrospective Study of 26 cases.,32195069
515,Molecular characterization and functional analysis of IKKα in orange-spotted grouper (Epinephelus coioides).,32194248
516,COVID-19: consider cytokine storm syndromes and immunosuppression.,32192578322202783223897632378064324235853263183632668194
517,Unusual accumulation of a wide array of antimicrobial resistance mechanisms in a patient with cytomegalovirus-associated hemophagocytic lymphohistiocytosis: a case report.,32192451
518,Hemophagocytic lymphohistiocytosis with advanced malignant melanoma accompanied by ipilimumab and nivolumab: A case report and literature review.,32191382
519,Ldb1 is required for Lmo2 oncogene-induced thymocyte self-renewal and T-cell acute lymphoblastic leukemia.,32181817
520,Coagulation Disorders in Hemophagocytic Lymphohistiocytosis/Macrophage Activation Syndrome.,32172822
521,Q fever as a rare cause of hemophagocytic lymphohistiocytosis: Case report.,32171685
522,Development and validation of the prognostic value of ferritin in adult patients with Hemophagocytic Lymphohistiocytosis.,32164748
523,Checkmate for EBV-HLH.,3216355931914172
524,Clinical outcomes of adults with hemophagocytic lymphohistiocytosis treated with the HLH-04 protocol: a retrospective analysis.,32157935
525,A neonatal case of coxsackievirus B3 vertical infection with symptoms of hemophagocytic lymphohistiocytosis.,32154109
526,Hemophagocytic Lymphohistiocytosis Related to Tuberculosis Disease.,32148351
527,[Analysis of five cases of hepatitis associated aplastic anemia presenting with hemophagocytic lymphohistiocytosis at onset].,32135593
528,How can an internal medicine specialist save a patient with hemophagocytic lymphohistiocytosis (HLH)?,32134401
529,Adult-onset Primary Hemophagocytic Lymphohistiocytosis: Reporting a Rare Case with Review of Literature.,32133251
530,Hemophagocytic lymphohistiocytosis resulting from a cytokine storm triggered by septicemia in a child with chronic granuloma disease: a case report and literature review.,32126983
531,Pediatric hemophagocytic lymphohistiocytosis.,32107531
532,A Case of Hemophagocytic Lymphohistiocytosis following Refractory Kawasaki Disease.,32097970
533,Hemophagocytic lymphohistiocytosis in adults: collaborative analysis of 137 cases of a nationwide German registry.,32076823
534,FHLdb: A Comprehensive Database on the Molecular Basis of Familial Hemophagocytic Lymphohistiocytosis.,32076423
535,Pulmonary Lymphomatoid Granulomatosis With Hemophagocytic Lymphohistiocytosis as the Initial Manifestation.,32064234
536,Molecular and functional characterization of two DELLA protein-coding genes in litchi.,32061763
537,Hemophagocytic Lymphohistiocytosis in Children.,3205619432451828
538,Hemophagocytic Lymphohistiocytosis in a Patient With Advanced HIV and Cytomegalovirus Infection.,32054345
539,Hemophagocytic Lymphohistiocytosis Induced Cytokine Storm Secondary to Human Immunodeficiency Virus Associated Miliary Tuberculosis.,32051801
540,A Brief Report and Mini-Review of Visceral Leishmaniasis-associated Hemophagocytic Lymphohistiocytosis in Children.,32049769
541,Status Epilepticus as a Consequence of Hemophagocytic Lymphohistiocytosis in a Previously Healthy Infant.,32042537
542,EBV-positive T/NK-associated lymphoproliferative disorders of childhood: A complete autopsy report.,32031127
543,A case of subcutaneous emphysema/mediastinal emphysema during the use of humidified high-flow nasal cannula.,32026981
544,Pembrolizumab-induced Hemophagocytic Lymphohistiocytosis: an immunotherapeutic challenge.,32025343
545,Macrophage activation syndrome in pediatrics.,32017214
546,Adult macrophage activation syndrome-haemophagocytic lymphohistiocytosis: 'of plasma exchange and immunosuppressive escalation strategies' - a single centre reflection.,32013725
547,Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis in a small child: A case report.,32011461
548,The role of allogeneic hematopoietic stem cell transplantation and Epstein-Barr virus infection on the treatment for child primary hemophagocytic lymphohistiocytosis patients with X-linked lymphoproliferative disease: A rare case report and family survey study.,32011062
549,Natural Killer Cells in Systemic Autoinflammatory Diseases: A Focus on Systemic Juvenile Idiopathic Arthritis and Macrophage Activation Syndrome.,32010140
550,Hemophagocytic Lymphohistiocytosis in a Patient with Rheumatoid Arthritis on Pembrolizumab for Lung Adenocarcinoma.,32009093
551,Comprehensive analysis of inhibitor of differentiation/DNA-binding gene family in lung cancer using bioinformatics methods.,32003423
552,Extreme hyperferritinemia: etiological spectrum and impact on prognosis.,31995958
553,Post-Transfusion Hemophagocytosis Without Hemophagocytic Lymphohistiocytosis.,31993572
554,Reevaluating the role of ferritin in the diagnosis of adult secondary hemophagocytic lymphohistiocytosis.,31991015
555,Incorporation of thiotepa in a reduced intensity conditioning regimen may improve engraftment after transplant for HLH.,31989587
556,"Liver Failure Among Young Saudi Infants: Etiology, Clinical Presentation, and Outcome.",31978013
557,Serum soluble VSIG4 as a surrogate marker for the diagnosis of lymphoma-associated hemophagocytic lymphohistiocytosis.,31960419
558,Hemophagocytic lymphohistiocytosis associated with oxcarbazepine.,31951347
559,Adult haemophagocytic lymphohistiocytosis: a Review.,31943120
560,Hemophagocytic lymphohistiocytosis complicating invasive pneumococcal disease: a pediatric case report.,31931763
561,"Folate-conjugated Helix lucorum hemocyanin - preparation, stability, and cytotoxicity.",31926108
562,Nivolumab treatment of relapsed/refractory Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis in adults.,3191417232163559
563,Effectiveness of therapeutic plasma exchange in a critically ill child with secondary hemophagocytic lymphohistiocytosis.,31896925
564,Clinical features and outcomes of patients with hemophagocytic lymphohistiocytosis at onset of systemic autoinflammatory disorder and compare with Epstein-Barr virus (EBV)-related hemophagocytic lymphohistiocytosis.,31895784
565,Toxoplasma-induced hemophagocytic lymphohistiocytosis after haploidentical allogeneic stem cell transplantation.,31895492
566,Hepatic sinusoidal hemophagocytosis with and without hemophagocytic lymphohistiocytosis.,31887162
567,Midkine-a Is Required for Cell Cycle Progression of Müller Glia during Neuronal Regeneration in the Vertebrate Retina.,31882403
568,An atypical HLH transcriptional regulator plays a novel and important role in strawberry ripened receptacle.,31881835
569,Ruxolitinib treatment for SR-aGVHD in patients with EBV-HLH undergoing allo-HSCT.,31879790
570,Neuroimaging features of CNS histiocytosis syndromes.,31874337
571,Molecular analysis of the novel L243R mutation in STXBP2 reveals impairment of degranulation activity.,31865540
572,Intravascular Large B-cell Lymphoma Associated with Systemic and Central Nervous System Hemophagocytic Lymphohistiocytosis: A Case Report.,31852057
573,The interferon-gamma pathway is selectively up-regulated in the liver of patients with secondary hemophagocytic lymphohistiocytosis.,31846457
574,An Immune-Stimulatory Helix-Loop-Helix Peptide: Selective Inhibition of CTLA-4-B7 Interaction.,31841301
575,Talaromycosis-Associated Secondary Hemophagocytic Lymphohistiocytosis in Nine Human Immunodeficiency Virus-Negative Patients: A Multicenter Retrospective Study.,31824178
576,A rare complication of systemic lupus erythematosus in a 9-year-old girl: Questions.,31823041
577,Novel AP3B1 compound heterozygous mutations in a Japanese patient with Hermansky-Pudlak syndrome type 2.,31820501
578,Hodgkin's lymphoma with HLH and complete remission with brentuximab-based therapy.,31818889
579,Clinical features of infantile subcutaneous panniculitis-like T-cell lymphoma.,31808238
580,Type 5 Familial Hemophagocytic Lymphohistiocytosis in a Seven-year-old Girl Post Second Bone Marrow Transplantation with Failure to Thrive: STXBP2 Novel Mutation.,31807395
581,A developmental gene regulatory network for C. elegans anchor cell invasion.,31806663
582,"Pediatric macrophage activation syndrome, recognizing the tip of the Iceberg.",31804174
583,Parvovirus B19-induced hemophagocytic lymphohistiocytosis: Case report and review of the literature.,31788255
584,Comparison between clinical features and prognosis of malignancy- and non-malignancy-associated pediatric hemophagocytic lymphohistiocytosis.,31783813
585,Hemophagocytic lymphohistiocytosis in a patient with glioblastoma: a case report.,31777271
586,Familial hemophagocytic lymphohistiocytosis in a girl with a novel homozygous mutation of STX11: A case report.,31770233
587,Haemophagocytic lymphohisticytosis-an underrecognized hyperinflammatory syndrome.,31769857
588,Epstein-Barr virus-associated T- and NK-cell lymphoproliferative diseases: an update and diagnostic approach.,31767131
589,[A case of Epstein-Barr virus-associated hemophagocytic lymphohistiocytosis in an elderly woman].,31761859
590,"X-linked lymphoproliferative syndrome in mainland China: review of clinical, genetic, and immunological characteristic.",31754776
591,"Epidemiologic features of children with Epstein-Barr virus associated diseases in Hangzhou, China.",31750545
592,Platelet-derived alpha-granules are associated with inflammation in patients with NK/T-cell lymphoma-associated hemophagocytic syndrome.,31739215
593,Hemophagocytic Lymphohistiocytosis in Langerhans Cell Histiocytosis: A Case Report and Review of the Literature.,31725543
594,"Successful Treatment of Veno-occlusive Disease, Transplantation-Associated Thrombotic Microangiopathy, and Acute Graft-vs-Host Disease in a Patient with Relapsed Epstein-Barr Hemophagocytic Lymphohistiocytosis After Haploidentical Hematopoietic Stem Cell Transplantation: A Case Report.",31711585
595,A research on the effects of successful aging on the acceptance and use of technology of the elderly.,31710261
596,Haematopoietic Stem Cell Transplantation for Primary Haemophagocytic Lymphohistiocytosis.,31709205
597,"Identification, characterization, and expression analysis of a serotonin receptor involved in the reproductive process of the Pacific abalone, Haliotis discus hannai.",31696430
598,Serum high mobility group box protein 1 (HMGB1) levels reflect clinical features of childhood hemophagocytic lymphohistiocytosis.,31695540
599,A Pediatric Case Report of Epstein-Barr Virus-associated Hemophagocytic Lymphohistiocytosis With Pericardial Effusion and Multiple Coronary Artery Aneurysms.,31688637
600,Epstein-Barr Virus Primary Infection Complicated by Hemophagocytic Lymphohistiocytosis and Plasmablastic Lymphoma in a HIV-Negative Patient.,31687232
601,Hemophagocytic Lymphohistiocytosis in an AIDS Patient with Kaposi Sarcoma: A Treatment Dilemma.,31687230
602,Heightened Immune Response to Presumed Loxosceles reclusa Envenomation.,31685322
603,Natural Killer Cell Function Tests by Flowcytometry-Based Cytotoxicity and IFN-γ Production for the Diagnosis of Adult Hemophagocytic Lymphohistiocytosis.,31671661
604,Characterization of Retinal Lesions Secondary to Hemophagocytic Lymphohistiocytosis With OCTA.,31671199
605,"Discovery of BAY-298 and BAY-899: Tetrahydro-1,6-naphthyridine-Based, Potent, and Selective Antagonists of the Luteinizing Hormone Receptor Which Reduce Sex Hormone Levels in Vivo.",31670515
606,A Case of Human Immunodeficiency Virus -triggered Hemophagocytic Lymphohistocytosis Presenting with Severe Bleeding Tendency.,31668025
607,Diagnostic biomarkers for adult haemophagocytic lymphohistiocytosis in critically ill patients (HEMICU): a prospective observational study protocol.,31666276
608,Histoplasmosis-Associated Hemophagocytic Lymphohistiocytosis: A Review of the Literature.,31662810
609,The Significance of the Intrinsically Disordered Regions for the Functions of the bHLH Transcription Factors.,31653121
610,Familial hemophagocytic lymphohistiocytosis type 5 in a Chinese Tibetan patient caused by a novel compound heterozygous mutation in STXBP2.,31651895
611,Proinflammatory Cytokine Secretion in a Patient With Recurrent Neuroblastoma Related to the Onset of Malignancy-associated Hemophagocytic Lymphohistiocytosis.,31651727
612,Different Clinical Presentation of 3 Children With Familial Hemophagocytic Lymphohistiocytosis With 2 Novel Mutations.,31651726
613,Stevens-Johnson syndrome complicated by fatal hemophagocytic lymphohistiocytosis.,31649973
614,KLF15-activating Twist2 ameliorated hepatic steatosis by inhibiting inflammation and improving mitochondrial dysfunction via NF-κB-FGF21 or SREBP1c-FGF21 pathway.,31648561
615,"Hemophagocytic lymphohistiocytosis: epidemiological, clinical and biological profile",31648438
616,Japanese Spotted Fever with Hemophagocytic Lymphohistiocytosis.,31645532
617,Successful treatment of diffuse large B-cell lymphoma with secondary hemophagocytic lymphohistiocytosis by R-CHOP-E regimen: a case report.,31642356
618,A human immune dysregulation syndrome characterized by severe hyperinflammation with a homozygous nonsense Roquin-1 mutation.,3163626731745085
619,Hemophagocytic Lymphohistiocytosis Associated With Parvovirus B19 in a Patient With Acquired Immunodeficiency Syndrome.,31635495
620,Serial analysis of cytokine and chemokine profiles and viral load in severe fever with thrombocytopenia syndrome: Case report and review of literature.,31626125
621,Hemophagocytic Lymphohistiocytosis in Critically Ill Patients.,31626037
622,Hemophagocytic lymphohistiocytosis complicated by polyserositis: A case report.,31624756
623,Hemophagocytic Lymphohistiocytosis: Management and Special Consideration in Human Immunodeficiency Virus Positive Patients with Immune Reconstitution Syndrome.,31620325
624,My jamais vu in post allogeneic hematopoietic cell transplant: a review on secondary hemophagocytosis in adults.,31611631
